unnamed:_0,Player,height,weight,year,games,starts,pctmin,ortg,pctposs,pctshots,efgpct,tspct,orpct,drpct,arate,torate,blkpct,stlpct,fc/40,fd/40,ftrate,ftm_a,pct,2pm_a,pct.1,3pm_a,pct.2,prev_team,height_in
30,Liam McNeeley,6-7,210.0,Fr,27.0,26.0,61.1,109.5,24.2438,25.3423,45.5,52.9,3.7,18.7323,13.1,14.8,0.8,1.1,2.5,4.6323,41.0344,110-127,0.86678,72-165,0.436,46-145,0.317,Connecticut ,79.0
10,Hassan Diarra,6-2,195.0,Sr,35.0,28.0,68.3,115.2491,20.7,15.6,47.4,53.7,6.1,10.1,35.625,23.1,1.3,3.685,3.2,3.1,37.9425,68-81,0.840176,67-134,0.5,23-80,0.287,Connecticut ,74.0
5,Tarris Reed,6-10,260.0,Jr,35.0,1.0,48.9,126.67,22.9,20.7,67.0,67.1,17.62,27.512,10.9,16.4,9.126,2.0,5.5,4.6344,49.8,65-101,0.644,136-203,0.67047,0-0,0.0,Connecticut ,82.0
20,Aidan Mahaney,6-3,185.0,Jr,34.0,5.0,29.3,106.9,20.9,23.5,46.0,49.5,1.2,6.6,19.3,14.2,0.0,1.0,4.8,3.0,23.9,25-33,0.758,29-74,0.392,23-64,0.359,Connecticut ,75.0
11,Alex Karaban,6-8,225.0,Jr,33.0,33.0,83.3158,122.0171,19.6,22.0,53.0495,56.9465,5.9,12.1,14.5,11.5298,4.9194,1.0,2.2354,3.1,26.9,82-99,0.828221,93-172,0.541,68-196,0.347,Connecticut ,80.0
1,Solo Ball,6-3,190.0,So,35.0,35.0,78.2343,124.2115,19.4,24.1,57.0192,60.1194,2.8,11.0,9.8,10.1158,1.3,1.4,2.5,3.0,23.3,74-88,0.841168,67-139,0.482,99-239,0.414123,Connecticut ,75.0
35,Samson Johnson,6-10,225.0,Sr,34.0,34.0,46.4,132.119,16.1,15.1,76.6,77.1,9.2324,13.2,10.5,21.0,8.731,2.2,6.1,2.8,35.5,38-50,0.76,108-141,0.7664,0-0,0.0,Connecticut ,82.0
3,Jaylin Stewart,6-7,215.0,So,35.0,12.0,44.1,123.0141,14.1,15.1,63.4,64.4,6.2,10.1,9.5,17.6,2.2,0.5,3.7,1.9,18.7,18-25,0.72,49-68,0.721,24-66,0.364,Connecticut ,79.0
23,Jayden Ross,6-7,205.0,So,33.0,1.0,26.4,107.1,12.7,14.9,46.8,47.6,3.1,12.7,12.3,14.3,4.0,1.5,4.6,1.3,7.6,4-6,0.667,22-34,0.647,10-45,0.222,Connecticut ,79.0
0,Ahmad Nowell,6-0,195.0,Fr,18.0,,8.1,100.2,20.7,17.2,41.1,43.1,7.8,10.4,29.7,23.4,3.0,2.1,3.5,2.6,25.0,4-7,0.571,7-12,0.583,3-16,0.188,Connecticut ,72.0
24,Youssouf Singare,6-10,230.0,So,16.0,,3.0,112.9,8.5,6.7,75.0,75.0,9.2,25.6,4.0,34.8,8.2,3.0,10.5,0.8,0.0,0-0,0.0,3-4,0.75,0-0,0.0,Connecticut ,82.0
4,Isaiah Abraham,6-7,205.0,Fr,9.0,,2.3,109.3,19.1,23.6,59.1,61.0,7.8,10.9,0.0,19.7,0.0,1.9,6.1,1.9,9.1,1-1,0.999,2-4,0.5,3-7,0.429,Connecticut ,79.0
5,Silas Demary,6-5,195.0,So,33.0,33.0,78.6325,110.6,22.7,22.3,48.5,55.2,2.8,11.2,18.949,18.6,0.7,3.1214,3.1,4.9249,48.2185,127-158,0.804352,72-173,0.416,58-155,0.374,Geogria ,77.0
11,Malachi Smith,6-0,175.0,Jr,32.0,30.0,67.1,109.0,24.4412,21.4,48.5,53.0,2.2,10.6,38.114,19.0,0.1,2.3,2.5,4.1,40.8347,79-109,0.725,83-187,0.444,31-80,0.388,Dayton,72.0
1,Alec Millender,6-1,185.0,Sr,29.0,26.0,77.9353,123.4135,13.9,12.8,60.28,63.36,0.9,6.6,22.133,18.8,0.3,1.5,3.5,2.2,31.9,42-53,0.792,25-49,0.51,50-117,0.427,IU Indianapolis,73.0
3,Dwayne Koroma,6-8,205.0,Jr,29.0,28.0,67.9,109.2,20.8,17.7,71.82,67.611,9.9261,20.6193,15.4,25.4,1.0,2.8373,4.3,3.7,48.0187,45-96,0.469,136-186,0.73111,5-14,0.357,Le Moyne,80.0
